"LAT","LON","YEAR","MO","DY","WS50M","QV2M","ALLSKY_SFC_UV_INDEX","Date","predicted_power_usage","date"
-33.75,20.75,2020,1,8,5.64,10.39,2.73,2020-01-08,2.42485270055285,2020-01-08
-33.25,18.75,2020,1,8,4.81,10.86,2.74,2020-01-08,2.55809683896361,2020-01-08
-33.25,19.25,2020,1,8,5.3,9.67,2.67,2020-01-08,2.27417389962122,2020-01-08
-33.25,19.75,2020,1,8,5.4,9.3,2.67,2020-01-08,2.18763145613038,2020-01-08
-33.25,20.25,2020,1,8,5.59,9.39,2.73,2020-01-08,2.2015749415457,2020-01-08
-33.25,20.75,2020,1,8,5.73,9.78,2.73,2020-01-08,2.28465727131112,2020-01-08
-32.75,18.75,2020,1,8,4.99,10.5,2.65,2020-01-08,2.47115081039341,2020-01-08
-32.75,19.25,2020,1,8,5.6,9.5,2.7,2020-01-08,2.22598626696086,2020-01-08
-32.75,19.75,2020,1,8,5.84,9.1,2.7,2020-01-08,2.12805309676618,2020-01-08
-32.75,20.25,2020,1,8,6.27,9.04,2.91,2020-01-08,2.1002973741709,2020-01-08
-32.75,20.75,2020,1,8,6.61,9.27,2.91,2020-01-08,2.14075760922171,2020-01-08
-32.25,18.75,2020,1,8,5.12,10.41,2.65,2020-01-08,2.44659555071123,2020-01-08
-32.25,19.25,2020,1,8,5.98,9.48,2.7,2020-01-08,2.20888606804423,2020-01-08
-32.25,19.75,2020,1,8,6.2,8.99,2.7,2020-01-08,2.09137190735496,2020-01-08
-32.25,20.25,2020,1,8,6.53,8.89,2.91,2020-01-08,2.05793493026862,2020-01-08
-32.25,20.75,2020,1,8,6.93,9.22,2.91,2020-01-08,2.11889904251803,2020-01-08
-34.25,18.75,2020,1,9,6.59,10.19,2.73,2020-01-09,2.34836182595083,2020-01-09
-34.25,19.25,2020,1,9,6.61,9.58,3.11,2020-01-09,2.21048772232998,2020-01-09
-34.25,19.75,2020,1,9,6.75,9.28,3.11,2020-01-09,2.13836431646732,2020-01-09
-34.25,20.25,2020,1,9,7,9.43,3.16,2020-01-09,2.16381424513179,2020-01-09
-34.25,20.75,2020,1,9,7.28,9.91,3.16,2020-01-09,2.26249815004173,2020-01-09
-33.75,18.75,2020,1,9,5.54,9.58,3.15,2020-01-09,2.24597084253481,2020-01-09
-33.75,19.25,2020,1,9,5.32,8.73,3.31,2020-01-09,2.06207096591738,2020-01-09
-33.75,19.75,2020,1,9,5.43,8.4,3.31,2020-01-09,1.98419433843015,2020-01-09
-33.75,20.25,2020,1,9,5.63,8.53,3.19,2020-01-09,2.00680363984909,2020-01-09
-33.75,20.75,2020,1,9,5.73,8.96,3.19,2020-01-09,2.10020987534732,2020-01-09
-33.25,18.75,2020,1,9,5.04,9.16,3.15,2020-01-09,2.16807868335752,2020-01-09
-33.25,19.25,2020,1,9,4.96,8.23,3.31,2020-01-09,1.96154128759943,2020-01-09
-33.25,19.75,2020,1,9,5.05,7.87,3.31,2020-01-09,1.87757982054179,2020-01-09
-33.25,20.25,2020,1,9,5.28,7.94,3.19,2020-01-09,1.88569811719903,2020-01-09
-33.25,20.75,2020,1,9,5.42,8.36,3.19,2020-01-09,1.97552852242654,2020-01-09
-32.75,18.75,2020,1,9,4.99,8.88,3.12,2020-01-09,2.10675473544054,2020-01-09
-32.75,19.25,2020,1,9,5.28,7.98,3.42,2020-01-09,1.89469555114848,2020-01-09
-32.75,19.75,2020,1,9,5.22,7.62,3.42,2020-01-09,1.81570835327843,2020-01-09
-32.75,20.25,2020,1,9,5.43,7.53,3.33,2020-01-09,1.78850015002953,2020-01-09
